==================================================================================================
                                  IP Static Route - GlobalRouter
==================================================================================================
DEST            MASK            NEXT            NH-VRF           COST PREF LCLNHOP STATUS ENABLE
--------------------------------------------------------------------------------------------------
1.0.0.0         255.255.0.0     200.200.200.200     GlobalRouter     10   5    TRUE    ACTIVE TRUE
2.0.0.0        255.255.0.0     211.211.211.211     GlobalRouter     10   5    TRUE    ACTIVE TRUE
3.0.0.0       255.255.0.0     200.200.200.200     GlobalRouter     10   5    TRUE    ACTIVE TRUE
4.0.0.0       255.255.0.0     200.200.200.200     GlobalRouter     10   5    TRUE    ACTIVE TRUE
5.0.0.0       255.255.0.0     200.200.200.200     GlobalRouter     10   5    TRUE    ACTIVE TRUE
6.0.0.0       255.255.0.0     200.200.200.200     GlobalRouter     10   5    TRUE    ACTIVE TRUE
7.0.0.0     255.255.0.0     111.111.111.111     GlobalRouter     10   5    TRUE    ACTIVE TRUE
8.0.0.0       255.0.0.0       100.100.100.100     GlobalRouter     10   5    TRUE    ACTIVE TRUE
9.0.0.0      255.255.255.0   222.222.222.222     GlobalRouter     10   5    TRUE    ACTIVE TRUE
10.0.0.0      255.255.254.0   222.222.222.222     GlobalRouter     10   5    TRUE    ACTIVE TRUE
11.0.0.0       255.255.255.255 222.222.222.222     GlobalRouter     10   5    TRUE    ACTIVE TRUE
12.0.0.0      255.255.252.0   200.200.200.200     GlobalRouter     10   5    TRUE    ACTIVE TRUE
13.0.0.0      255.255.252.0   200.200.200.200     GlobalRouter     10   5    TRUE    ACTIVE TRUE
14.0.0.0     255.255.255.0   200.200.200.200     GlobalRouter     10   5    TRUE    ACTIVE TRUE
15.0.0.0     255.255.255.0   200.200.200.200     GlobalRouter     10   5    TRUE    ACTIVE TRUE
16.0.0.0     255.255.255.0   200.200.200.200     GlobalRouter     10   5    TRUE    ACTIVE TRUE
17.0.0.0      255.255.255.0   111.111.111.111     GlobalRouter     10   5    TRUE    ACTIVE TRUE
